Title,Location,Price,Bedrooms,Bathrooms,Features,URL,Created_Date,Street,Kapanewon,Kabupaten,Province
"utara kampus ugm, tanah pekarangan siap bangun : legalitas shm","catur tunggal, sleman, yogyakarta, depok, sleman, di yogyakarta",1472000000,,,"184 m² (tanah), rp 8.000.000 per m²",https://www.rumah.com/listing-properti/dijual-utara-kampus-ugm-tanah-pekarangan-siap-bangun-legalitas-shm-oleh-anindya-22074691,20230812_093203,N/A,depok,sleman,diy
tirtomartani kalasan sleman yogyakarta,"jetis, kalasan, sleman, di yogyakarta",575000000,3.0,2.0,"3  2 , 70 m², rp 4.791.667 per m²",https://www.rumah.com/listing-properti/dijual-tirtomartani-kalasan-sleman-yogyakarta-oleh-feri-kurniawan-21637770,20230812_093203,N/A,kalasan,sleman,diy
ngestiharjo kasihan kota yogyakarta,"jalan perintis ngestiharjo kasihan, wirobrajan, yogyakarta, di yogyakarta",1350000000,6.0,2.0,"6  2 , 159 m², rp 6.308.411 per m²",https://www.rumah.com/listing-properti/dijual-ngestiharjo-kasihan-kota-yogyakarta-oleh-ahmad-rif-an-21596361,20230812_093203,jalan perintis ngestiharjo kasihan,wirobrajan,yogyakarta,diy
minomartani ngaglik sleman yogyakarta,"mladangan minomartani, ngaglik, sleman, di yogyakarta",2000000000,4.0,2.0,"4  2 , 120 m², rp 6.451.613 per m²",https://www.rumah.com/listing-properti/dijual-minomartani-ngaglik-sleman-yogyakarta-oleh-ahmad-gesit-21687827,20230812_093203,N/A,ngaglik,sleman,diy
timoho,"centel timoho kota yogyakarta, gondokusuman, yogyakarta, di yogyakarta",1750000000,,,"174 m² (tanah), rp 10.057.471 per m²",https://www.rumah.com/listing-properti/dijual-timoho-oleh-sunaryadi-19752038,20230812_093203,N/A,gondokusuman,yogyakarta,diy
godean gamping sleman yogyakarta,"perumahan nogotirto, gamping, sleman, di yogyakarta",1100000000,3.0,1.0,"3  1 , 158 m², rp 6.790.123 per m²",https://www.rumah.com/listing-properti/dijual-godean-gamping-sleman-yogyakarta-oleh-wiedi-21190199,20230812_093203,N/A,gamping,sleman,diy
"nusupan, trihanggo, sleman","nusupan, gamping, sleman, di yogyakarta",1800000000,3.0,4.0,"3  4 , 200 m², rp 10.975.610 per m²",https://www.rumah.com/listing-properti/dijual-nusupan-trihanggo-sleman-oleh-januari-michael-s-hindarto-22074684,20230812_093203,N/A,gamping,sleman,diy
pandega marta caturtunggal depok sleman,"pogung, depok, sleman, di yogyakarta",48200000000,,,"4820 m² (tanah), rp 10.000.000 per m²",https://www.rumah.com/listing-properti/dijual-pandega-marta-caturtunggal-depok-sleman-oleh-priyo-kurniawan-19901000,20230812_093203,N/A,depok,sleman,diy
losari sukoharjo ngaglik sleman,"losari, ngaglik, sleman, di yogyakarta",775000000,3.0,2.0,"3  2 , 85 m², rp 6.458.333 per m²",https://www.rumah.com/listing-properti/dijual-losari-sukoharjo-ngaglik-sleman-oleh-priyo-kurniawan-20051741,20230812_093203,N/A,ngaglik,sleman,diy
"timur uii, pekarangan siap bangun : cocok untuk kos maupun hunian","jl. pamungkas, sleman, yogyakarta, ngaglik, sleman, di yogyakarta",464000000,,,"145 m² (tanah), rp 3.200.000 per m²",https://www.rumah.com/listing-properti/dijual-timur-uii-pekarangan-siap-bangun-cocok-untuk-kos-maupun-hunian-oleh-anindya-22074639,20230812_093203,jl. pamungkas,ngaglik,sleman,diy
rumah baru di jalan kaliurang sleman dekat uii,"jl kaliurangkm 13, ngaglik, sleman, di yogyakarta",1450000000,3.0,2.0,"3  2 , 120 m², rp 9.415.584 per m²",https://www.rumah.com/listing-properti/dijual-rumah-baru-di-jalan-kaliurang-sleman-dekat-uii-oleh-scarlett-22074566,20230812_093203,N/A,ngaglik,sleman,diy
rumah di jalan kaliurang km 7 dekat ugm sleman,"jl kaliurang km 7, ngaglik, sleman, di yogyakarta",1750000000,5.0,3.0,"5  3 , 150 m², rp 8.333.333 per m²",https://www.rumah.com/listing-properti/dijual-rumah-di-jalan-kaliurang-km-7-dekat-ugm-sleman-oleh-scarlett-21973637,20230812_093203,N/A,ngaglik,sleman,diy
citragrand yogya,"jl. wates, bantul, diy, sedayu, bantul, di yogyakarta",1600000000,2.0,1.0,"2  1 , 120 m², rp 10.666.667 per m²",https://www.rumah.com/listing-properti/dijual-citragrand-yogya-oleh-liana-wong-22074511,20230812_093203,jl. wates,sedayu,bantul,diy
"rumah siap huni, full furnished di potorono, bantul","potorono, banguntapan, bantul, di yogyakarta",445000000,3.0,1.0,"3  1 , 60 m², rp 5.297.619 per m²",https://www.rumah.com/listing-properti/dijual-rumah-siap-huni-full-furnished-di-potorono-bantul-oleh-adi-setiawan-22074498,20230812_093203,N/A,banguntapan,bantul,diy
kaliurang dekat ugm sleman,"jl kaliurang km 7 depok sleman, depok, sleman, di yogyakarta",750000000,3.0,2.0,"3  2 , 60 m², rp 6.818.182 per m²",https://www.rumah.com/listing-properti/dijual-kaliurang-dekat-ugm-sleman-oleh-scarlett-18667928,20230812_093203,N/A,depok,sleman,diy
pesona merapi,". jl. kapten haryadi, sleman, sleman, di yogyakarta",6400000000,5.0,6.0,"5  6 , 490 m², rp 16.886.544 per m²",https://www.rumah.com/listing-properti/dijual-pesona-merapi-oleh-scarlett-19462443,20230812_093203,. jl. kapten haryadi,N/A,sleman,diy
tanah dekat kampus uii pusat,"ngaglik, sleman, di yogyakarta",2700000,,,"145 m² (tanah), rp 18.621 per m²",https://www.rumah.com/listing-properti/dijual-tanah-dekat-kampus-uii-pusat-oleh-alfian-febriansyah-22040623,20230812_093203,N/A,ngaglik,sleman,diy
tanah pekarangan dekat jln kaliurang besi jangkang,"ngaglik, sleman, di yogyakarta",5200000,,,"399 m² (tanah), rp 13.033 per m²",https://www.rumah.com/listing-properti/dijual-tanah-pekarangan-dekat-jln-kaliurang-besi-jangkang-oleh-alfian-febriansyah-22048687,20230812_093203,N/A,ngaglik,sleman,diy
timoho yogyakarta,"jl ipda tut harsono, gondokusuman, yogyakarta, di yogyakarta",7750000,,,"2455 m² (tanah), rp 3.157 per m²",https://www.rumah.com/listing-properti/dijual-timoho-yogyakarta-oleh-scarlett-21006760,20230812_093203,N/A,gondokusuman,yogyakarta,diy
