Title,Location,Price,Bedrooms,Bathrooms,Features,URL,Created_Date
Dijual cluster maguwoharjo Sleman Yogyakarta,"Depok, Sleman, DI Yogyakarta",Rp 790 jt,3,2,"3  2 , 70 m², Rp 7.669.903 per m²",https://www.rumah.comhttps://www.rumah.com/listing-properti/dijual-dijual-cluster-maguwoharjo-sleman-yogyakarta-oleh-hadiwijaya-22054361,20230812_093203
Dijual Rumah Baru Jakal km 13 Sleman Yogyakarta,"Ngaglik, Sleman, DI Yogyakarta","Rp 1,4 M",3,2,"3  2 , 110 m², Rp 9.090.909 per m²",https://www.rumah.comhttps://www.rumah.com/listing-properti/dijual-dijual-rumah-baru-jakal-km-13-sleman-yogyakarta-oleh-hadiwijaya-22079262,20230812_093203
"Rumah Mewah Baru 1 Lt. Tajem Maguwoharjo Wedomartani Dekat Jogja Bay, Sanata Dharma, UPN, UGM, UII","Ngemplak, Sleman, DI Yogyakarta","Rp 1,1 M",3,2,"3  2 , 100 m², Rp 9.090.909 per m²",https://www.rumah.comhttps://www.rumah.com/listing-properti/dijual-rumah-mewah-baru-1-lt-tajem-maguwoharjo-wedomartani-dekat-jogja-bay-sanata-dharma-upn-ugm-uii-oleh-eny-orinda-21805918,20230812_093203
Dijual rumah baru jakal km 14 Sleman Yogyakarta,"Ngaglik, Sleman, DI Yogyakarta",Rp 777 jt,3,2,"3  2 , 83 m², Rp 7.400.000 per m²",https://www.rumah.comhttps://www.rumah.com/listing-properti/dijual-dijual-rumah-baru-jakal-km-14-sleman-yogyakarta-oleh-hadiwijaya-21990450,20230812_093203
Tanah Bagus Di Pugeran Dekat UPN Dalam Ring Road,"Depok, Sleman, DI Yogyakarta","Rp 4,7 jt",N/A,N/A,"119 m² (tanah), Rp 39.496 per m²",https://www.rumah.comhttps://www.rumah.com/listing-properti/dijual-tanah-bagus-di-pugeran-dekat-upn-dalam-ring-road-oleh-alfian-febriansyah-22078994,20230812_093203
Perumahan Nawasena Townhouse Utara Ringroad Jogja,"Jl. Kebon Agung, Gamping, Sleman, DI Yogyakarta",Rp 975 jt,3,2,"3  2 , 80 m², Rp 9.750.000 per m²",https://www.rumah.comhttps://www.rumah.com/listing-properti/dijual-perumahan-nawasena-townhouse-utara-ringroad-jogja-oleh-andro-22078966,20230812_093203
Perumahan KPR Prambanan,"Prambanan Yogyakarta, Prambanan, Sleman, DI Yogyakarta",Rp 280 jt,2,1,"2  1 , 36 m², Rp 4.242.424 per m²",https://www.rumah.comhttps://www.rumah.com/listing-properti/dijual-perumahan-kpr-prambanan-oleh-taryono-21947085,20230812_093203
"Harga 975 Juta Belakang MCD Jombor, Cluster Mewah 2 Lantai Hanya 7 Unit","Jalan Kabupaten, Mlati, Sleman, DI Yogyakarta",Rp 975 jt,3,2,"3  2 , 80 m², Rp 8.783.784 per m²",https://www.rumah.comhttps://www.rumah.com/listing-properti/dijual-harga-975-juta-belakang-mcd-jombor-cluster-mewah-2-lantai-hanya-7-unit-oleh-andro-21559343,20230812_093203
Rumah Murah Prambanan,"Prambanan Yogyakarta, Prambanan, Sleman, DI Yogyakarta",Rp 280 jt,2,1,"2  1 , 36 m², Rp 4.242.424 per m²",https://www.rumah.comhttps://www.rumah.com/listing-properti/dijual-rumah-murah-prambanan-oleh-taryono-21571833,20230812_093203
"Tanah Pribadi Bonus Rumah Jalan Kaliurang, Dekat Kampus UGM, 100M Jalan Raya","Jalan Kaliurang, Depok, Sleman, DI Yogyakarta",Rp 732 jt,N/A,N/A,"120 m² (tanah), Rp 6.100.000 per m²",https://www.rumah.comhttps://www.rumah.com/listing-properti/dijual-tanah-pribadi-bonus-rumah-jalan-kaliurang-dekat-kampus-ugm-100m-jalan-raya-oleh-amry-22078881,20230812_093203
Dijual Rumah Murah Di Prambanan Yogyakarta,"Prambanan Yogyakarta, Prambanan, Sleman, DI Yogyakarta",Rp 280 jt,2,1,"2  1 , 36 m², Rp 4.242.424 per m²",https://www.rumah.comhttps://www.rumah.com/listing-properti/dijual-dijual-rumah-murah-di-prambanan-yogyakarta-oleh-taryono-21946636,20230812_093203
12 meter dari Jl Palagan,"Jl Palagan Km 13, Utara Hotel Hyatt, Sleman, Sleman, DI Yogyakarta","Rp 931,5 jt",10,10,"10  10 , 345 m² (tanah), Rp 2.700.000 per m²",https://www.rumah.comhttps://www.rumah.com/listing-properti/dijual-12-meter-dari-jl-palagan-oleh-abdul-rozaq-21955685,20230812_093203
"Tanah Murah Dekat Kota Jogja, Siap bangun","Jl. Wonosari, Kotagede, Yogyakarta, DI Yogyakarta","Rp 2,35 jt",N/A,N/A,"158 m² (tanah), Rp 14.873 per m²",https://www.rumah.comhttps://www.rumah.com/listing-properti/dijual-tanah-murah-dekat-kota-jogja-siap-bangun-oleh-razaldy-gibran-pratama-22078329,20230812_093203
Tanah Pinggir Jalan Di Seturan Area Kawasan Premium,"Jln raya Kledokan, Depok, Sleman, DI Yogyakarta","Rp 16,5 jt",N/A,N/A,"179 m² (tanah), Rp 92.179 per m²",https://www.rumah.comhttps://www.rumah.com/listing-properti/dijual-tanah-pinggir-jalan-di-seturan-area-kawasan-premium-oleh-alfian-febriansyah-22078044,20230812_093203
"Tanah Perumahan Sleman, Siap Bangun, Dekat Kampus UII Luasan 140m","Jalan Kaliurang, Ngemplak, Sleman, DI Yogyakarta",Rp 426 jt,N/A,N/A,"142 m² (tanah), Rp 3.000.000 per m²",https://www.rumah.comhttps://www.rumah.com/listing-properti/dijual-tanah-perumahan-sleman-siap-bangun-dekat-kampus-uii-luasan-140m-oleh-amry-22053880,20230812_093203
Rumah Besar murah di jl. Bugisan selatan,"Kasihan, Bantul, DI Yogyakarta","Rp 1,25 M",5,3,"5  3 , 300 m², Rp 8.503.401 per m²",https://www.rumah.comhttps://www.rumah.com/listing-properti/dijual-rumah-besar-murah-di-jl-bugisan-selatan-oleh-zuhad-putra-rahmatullah-22077818,20230812_093203
5 Menit Kampus UII Jogja,"Jl Kaliurang Km. 14, Sleman, Mantrijeron, Yogyakarta, DI Yogyakarta","Rp 3,7 jt",10,10,"10  10 , 233 m² (tanah), Rp 15.880 per m²",https://www.rumah.comhttps://www.rumah.com/listing-properti/dijual-5-menit-kampus-uii-jogja-oleh-abdul-rozaq-21963184,20230812_093203
Dijual Tanah Gratis Bangunan Canal H 600m2,"Kasihan, Bantul, DI Yogyakarta","Rp 2,6 jt",N/A,N/A,"1510 m² (tanah), Rp 1.722 per m²",https://www.rumah.comhttps://www.rumah.com/listing-properti/dijual-dijual-tanah-gratis-bangunan-canal-h-600m2-oleh-zuhad-putra-rahmatullah-22077674,20230812_093203
Dijual Rumah Mewah Murah di Jl. Bugisan selatan,"Kasihan, Bantul, DI Yogyakarta","Rp 1,4 M",4,3,"4  3 , 200 m², Rp 10.144.928 per m²",https://www.rumah.comhttps://www.rumah.com/listing-properti/dijual-dijual-rumah-mewah-murah-di-jl-bugisan-selatan-oleh-zuhad-putra-rahmatullah-22077362,20230812_093203
Tanah Cocok Bangun Kos Dekat UGM Dan UII Jogja,"Jl.Kaliurang KM 7, Sleman, Yogyakarta, Depok, Sleman, DI Yogyakarta",Rp 5 jt,N/A,N/A,"283 m² (tanah), Rp 17.668 per m²",https://www.rumah.comhttps://www.rumah.com/listing-properti/dijual-tanah-cocok-bangun-kos-dekat-ugm-dan-uii-jogja-oleh-lingga-swardinata-22076109,20230812_093203
Kost Dijual eksklusif Lokasi premium di Pogung dekat ke kampus UGM,"pogung kidul, Mlati, Sleman, DI Yogyakarta","Rp 8,5 M",10,10,"10  10 , 450 m², Rp 22.368.421 per m²",https://www.rumah.comhttps://www.rumah.com/listing-properti/dijual-kost-dijual-eksklusif-lokasi-premium-di-pogung-dekat-ke-kampus-ugm-oleh-beny-a-17684014,20230812_093203
